
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 200 ug/50 mL (NDC 0338-9555-24)","Reverified","09/03/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 400 ug/100 mL (NDC 0338-9557-12)","Revised","09/03/2025","Limited Availability","Recovery in November 2025","","Demand increase for the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 200 ug/50 mL (NDC 43066-555-24)","Reverified","09/03/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 400 ug/100 mL (NDC 43066-557-12)","Reverified","09/03/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 63323-671-20)","Reverified","09/18/2025","Unavailable","Not available at this time.","","Other","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 63323-671-50)","Reverified","09/18/2025","Unavailable","Not available at this time.","","Delay in shipping of the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 63323-671-00)","Reverified","09/18/2025","Unavailable","Not available at this time.","","Delay in shipping of the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 63323-421-02)","Reverified","09/02/2025","Available","Short-dated supply (8 months from expiry) available upon request. Check wholesaler for inventory.","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","HQ Specialty Pharma","WG Critical Care 888-493-0861","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 44567-600-04)","Reverified","09/17/2025","Available","Marketed by WG Critical Care","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","HQ Specialty Pharma","WG Critical Care 888-493-0861","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 44567-601-04)","Reverified","09/17/2025","Available","Marketed by WG Critical Care","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","HQ Specialty Pharma","WG Critical Care 888-493-0861","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 44567-602-24)","Reverified","09/17/2025","Available","Marketed by WG Critical Care","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","HQ Specialty Pharma","WG Critical Care 888-493-0861","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 44567-603-24)","Reverified","09/17/2025","Available","Marketed by WG Critical Care","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Mylan Institutional, a Viatris Company","800-796-9526","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 67457-251-02)","Reverified","09/17/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Par Pharmaceutical, Inc.","800-828-9393","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 42023-146-25)","Reverified","09/17/2025","Available","Please check wholesalers for inventory","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 80 mcg/20 mL (4 mcg/mL) (NDC 0409-1660-20)","Reverified","08/15/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 200 mcg/50 mL (4 mcg/mL) (NDC 0409-1660-50)","Reverified","08/15/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 400 mcg/100 mL (4 mcg/mL) (NDC 0409-1596-10)","Reverified","08/15/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 200 mcg/2 mL (100 mcg/mL) (NDC 0409-1638-02)","Reverified","08/15/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Slayback Pharma","844-566-2505","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 71225-126-05)","Reverified","09/17/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Slayback Pharma","844-566-2505","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 71225-126-06)","Reverified","09/17/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Meitheal Pharmaceuticals, Inc.","844-824-8426","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 71288-505-03)","Reverified","08/19/2025","Available","","","","Anesthesia","Current","","","04/10/2021","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Gland Pharma Limited","Distributed by DRL","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 43598-976-58)","Reverified","09/17/2025","Available","Distributed by DRL","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Gland Pharma Limited","Distributed by DRL","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 43598-975-58)","Reverified","09/17/2025","Available","Distributed by DRL","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Amneal Pharmaceuticals","877-835-5472","Dexmedetomidine Hydrochloride, Injection, 4 mcg/mL, 50 mL (NDC 70121-1388-1)","Reverified","09/17/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Amneal Pharmaceuticals","866-525-7270","Dexmedetomidine Hydrochloride, Injection, 4 mcg/mL, 100 mL (NDC 70121-1389-1)","Reverified","09/17/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Jiangsu Hengrui Pharmaceuticals Co., Ltd.","See Related Information section below for customer service information","Dexmedetomidine Hydrochloride, Injection, 80 mcg/20 mL  (NDC 0781-3493-95)","Reverified","09/02/2025","Available","Marketed by Sandoz Inc.; Customer service: 800-525-8747","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Jiangsu Hengrui Pharmaceuticals Co., Ltd.","See Related Information section below for customer service information","Dexmedetomidine Hydrochloride, Injection, 200 mcg/50 mL  (NDC 0781-3494-95)","Reverified","09/02/2025","Available","Marketed by Sandoz Inc.; Customer service: 800-525-8747","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Jiangsu Hengrui Pharmaceuticals Co., Ltd.","See Related Information section below for customer service information","Dexmedetomidine Hydrochloride, Injection, 400 mcg/100 mL (NDC 0781-3495-95)","Reverified","09/02/2025","Available","Marketed by Sandoz Inc.; Customer service: 800-525-8747","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Gland Pharma Limited","855-273-0154","Dexmedetomidine Hydrochloride, Injection, 200 ug/2 mL (NDC 66794-230-42)","Reverified","09/17/2025","Available","Marketed by Piramal Critical Care Inc.: 800-414-1901","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 80 mcg/20 mL (4 mcg/mL) (NDC 0409-3301-10)","Reverified","08/15/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 200 mcg/50 mL (4 mcg/mL) (NDC 0409-4596-20)","Reverified","08/15/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 400 mcg/100 mL (4 mcg/mL) (NDC 0409-0155-02)","Reverified","08/15/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 400 mcg/100 mL (4 mcg/mL) (NDC 0409-1174-10)","Reverified","08/15/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 1000 mcg/250 mL Single Dose Glass Bottle (NDC 0409-1434-01)","Revised","08/15/2025","Unavailable","Unavailable. Next Delivery: October 2025; Estimated Recovery: December 2025","","Other","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 1000 mcg/250 mL Glass Bottle NovaPlus (NDC 0409-2815-01)","Revised","08/15/2025","Limited Availability","Limited Supply Available. Next Delivery: November 2025; Estimated Recovery: December 2025","","Other","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 200 mcg/50 mL (4 mcg/mL) (NDC 0409-1454-20)","Reverified","08/15/2025","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Jiangsu Hengrui Pharmaceuticals Co., Ltd.","See Related Information section below for customer service information","Dexmedetomidine Hydrochloride, Injection, 200 mcg/2 mL (NDC 83634-600-02)","Reverified","09/02/2025","Unavailable","Distributed by Avenacy; Contact information: 877-283-6229","","Demand increase for the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dextrose Monohydrate 10% Injection","Baxter Healthcare","888-229-0001","Dextrose 10% In Plastic Container, Injection, 100 g/1000 mL (NDC 0338-0023-02)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","Baxter Healthcare","888-229-0001","Dextrose 10% In Plastic Container, Injection, 100 g/1000 mL (NDC 0338-0023-03)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","Baxter Healthcare","888-229-0001","Dextrose 10% In Plastic Container, Injection, 100 g/1000 mL (NDC 0338-0023-04)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","B. Braun Medical Inc.","800-227-2862","Dextrose Monohydrate 10%, Injection, 10 g/100 mL (NDC 0264-7520-00)","Reverified","09/16/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","B. Braun Medical Inc.","800-227-2862","Dextrose Monohydrate 10%, Injection, 10 g/100 mL (NDC 0264-7520-10)","Reverified","09/16/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","B. Braun Medical Inc.","800-227-2862","Dextrose Monohydrate 10%, Injection, 10 g/100 mL (NDC 0264-7520-20)","Reverified","09/16/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 10% In Plastic Container, Injection, 100 mg/1 mL (NDC 63323-824-74)","Reverified","09/18/2025","Available","Check wholesalers for inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 10% In Plastic Container, Injection, 100 mg/1 mL (NDC 63323-824-75)","Reverified","09/18/2025","Unavailable","Backordered. Next release not available at this time. Check wholesalers for inventory.","","Demand increase for the drug","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 10% In Plastic Container, Injection, 100 mg/1 mL (NDC 63323-824-76)","Reverified","09/18/2025","Available","Check wholesalers for inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 10% In Plastic Container, Injection, 10 g/100 mL (NDC 0990-7930-02)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 10% In Plastic Container, Injection, 10 g/100 mL (NDC 0990-7930-03)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 10% In Plastic Container, Injection, 10 g/100 mL (NDC 0990-7930-09)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 10% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 10% In Plastic Container, Injection, 10 g/100 mL (NDC 0990-7938-19)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","03/01/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Dextrose 5% In Plastic Container, Injection, 2.5 g/50mL (5%, 50mg/mL) (NDC 0409-7100-66)","Reverified","08/15/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Dextrose 5% In Plastic Container, Injection, 5 g/100mL (5%) Plastic (NDC 0409-7100-67)","Reverified","08/15/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Dextrose 5% In Plastic Container, Injection, 12.5 g/250mL (5%) (NDC 0409-7100-02)","Reverified","08/15/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 65219-464-50)","Reverified","09/18/2025","Available","Check wholesalers for inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 65219-458-30)","Reverified","09/18/2025","Available","Check wholesalers for inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 65219-460-20)","Reverified","09/18/2025","Available","Check wholesalers for inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 65219-462-10)","Reverified","09/18/2025","Available","Check wholesalers for inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 65219-456-60)","Reverified","09/18/2025","Available","Check wholealers for inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7922-02)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7922-61)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7923-13)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7923-20)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7923-23)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7923-36)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7923-37)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-10)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-41)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-11)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-31)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-48)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-18)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-38)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-0551-11)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 2.5 g/50 mL (NDC 0338-9143-30)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-9147-30)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-0551-18)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-0070-10)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-02)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-0062-30)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-03)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-0066-20)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","B. Braun Medical Inc.","800-227-2862","Dextrose Monohydrate 5%, Injection, 5 g/100 mL (NDC 0264-7510-10)","Reverified","09/16/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","B. Braun Medical Inc.","800-227-2862","Dextrose Monohydrate 5%, Injection, 5 g/100 mL (NDC 0264-7510-00)","Reverified","09/16/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","B. Braun Medical Inc.","800-227-2862","Dextrose Monohydrate 5%, Injection, 5 g/100 mL (NDC 0264-7510-20)","Reverified","09/16/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","B. Braun Medical Inc.","800-227-2862","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 0264-1510-32)","Reverified","09/16/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","B. Braun Medical Inc.","800-227-2862","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 0264-1510-31)","Reverified","09/16/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7922-03)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate 5% Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7922-55)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
